transcript_id	gene_id	is_novel	total_count	unique_count	sample_id	em_count	tpm	certainty	multimapping_rate
ENST00000647020.1	ENSG00000244734.4	FALSE	149102	148717	SAMEA117622252	149101.890211156	222399.392341498	0.997417875011737	0.00258212498826305
ENST00000251595.11	ENSG00000188536.13	FALSE	102257	101171	SAMEA117622252	102256.839009349	152525.624096615	0.989379700167226	0.0106202998327742
ENST00000320868.9	ENSG00000206172.8	FALSE	76036	75296	SAMEA117622252	76035.8549183492	113414.577816947	0.990267767899416	0.00973223210058394
transcript1188.chr6.nnic	ENSG00000234745.14	TRUE	67525	3199	SAMEA117622252	56966.6553814922	84971.0860313656	0.0473750462791559	0.952624953720844
ENST00000395388.7	ENSG00000204287.14	FALSE	31084	29808	SAMEA117622252	31075.6223296117	46352.1925372775	0.958949942092395	0.0410500579076052
ENST00000360004.6	ENSG00000196126.12	FALSE	30640	30632	SAMEA117622252	30639.2450331126	45701.2950507628	0.999738903394256	0.000261096605744138
ENST00000376228.10	ENSG00000204525.18	FALSE	30221	23390	SAMEA117622252	30188.9017951251	45029.5660583826	0.773965123589557	0.226034876410443
ENST00000376809.10	ENSG00000206503.15	FALSE	29996	25837	SAMEA117622252	29736.6798143923	44355.0347457614	0.861348179757301	0.138651820242699
ENST00000412585.7	ENSG00000234745.14	FALSE	64954	628	SAMEA117622252	11183.9823343389	16681.9540087152	0.00966838070018783	0.990331619299812
transcript1510.chr6.nnic	ENSG00000290878.2	FALSE	5643	5635	SAMEA117622252	5642.44139980191	8416.22823735713	0.998582314371788	0.00141768562821198
ENST00000374843.9	ENSG00000204257.15	FALSE	5268	5171	SAMEA117622252	5263.98368935034	7851.72322194662	0.981586940015186	0.018413059984814
ENST00000354258.5	ENSG00000168394.13	FALSE	4558	4297	SAMEA117622252	4557.40545883254	6797.79581105769	0.942738043001316	0.0572619569986836
transcript239.chr11.nnic	ENSG00000223609.11	FALSE	4707	344	SAMEA117622252	3995.75655613331	5960.04402606904	0.0730826428723178	0.926917357127682
transcript1932.chr6.nic	ENSG00000231389.8	FALSE	3078	540	SAMEA117622252	3009.4054054054	4488.80917957204	0.175438596491228	0.824561403508772
ENST00000523022.6	ENSG00000133742.14	FALSE	2267	2267	SAMEA117622252	2267	3381.44219180698	1	0
transcript1519.chr6.nnic	ENSG00000196126.12	FALSE	2233	2225	SAMEA117622252	2225.52625354778	3319.58022616699	0.996417375727721	0.0035826242722794
ENST00000678703.1	ENSG00000156508.19	FALSE	2021	22	SAMEA117622252	1944.94222954821	2901.06295351629	0.0108857001484414	0.989114299851559
ENST00000714446.1	ENSG00000206503.15	FALSE	5093	1554	SAMEA117622252	1786.34021931124	2664.49324503782	0.305124680934616	0.694875319065384
ENST00000356815.4	ENSG00000206177.7	FALSE	1668	1668	SAMEA117622252	1668	2487.97775735952	1	0
ENST00000334668.8	ENSG00000204642.14	FALSE	1737	1115	SAMEA117622252	1666.72355587249	2486.07382174936	0.641911341393207	0.358088658606793
ENST00000260379.11	ENSG00000137818.12	FALSE	1605	1605	SAMEA117622252	1605	2394.00737443767	1	0
ENST00000362079.2	ENSG00000198938.2	FALSE	1588	1588	SAMEA117622252	1588	2368.65028698257	1	0
ENST00000361739.1	ENSG00000198712.1	FALSE	1564	1564	SAMEA117622252	1564	2332.85204586948	1	0
ENST00000330597.5	ENSG00000213934.9	FALSE	1503	1503	SAMEA117622252	1503	2241.86484970705	1	0
ENST00000343262.9	ENSG00000140988.16	FALSE	1457	1457	SAMEA117622252	1457	2173.2515542403	1	0
ENST00000230050.4	ENSG00000112306.8	FALSE	1411	1411	SAMEA117622252	1411	2104.63825877355	1	0
ENST00000418107.3	ENSG00000242574.9	FALSE	1326	1326	SAMEA117622252	1326	1977.85282149804	1	0
ENST00000331825.11	ENSG00000087086.16	FALSE	1284	1284	SAMEA117622252	1284	1915.20589955014	1	0
ENST00000646664.1	ENSG00000075624.17	FALSE	1284	1262	SAMEA117622252	1283.94403973766	1915.1224295933	0.982866043613707	0.0171339563862928
ENST00000302182.8	ENSG00000170315.14	FALSE	1246	1184	SAMEA117622252	1245.22435362802	1857.36840212764	0.95024077046549	0.0497592295345104
ENST00000376630.5	ENSG00000204592.9	FALSE	1188	1188	SAMEA117622252	1188	1772.01293509779	1	0
ENST00000361789.2	ENSG00000198727.2	FALSE	1140	1140	SAMEA117622252	1140	1700.41645287162	1	0
ENST00000216146.9	ENSG00000100316.16	FALSE	1129	1129	SAMEA117622252	1129	1684.00892569478	1	0
ENST00000531188.6	ENSG00000149273.15	FALSE	1124	1124	SAMEA117622252	1124	1676.55095879622	1	0
ENST00000439602.7	ENSG00000231500.7	FALSE	1100	1098	SAMEA117622252	1099.96219831097	1640.69633293403	0.998181818181818	0.00181818181818183
