sample_id	transcript_1	transcript_2	shared_reads	total_reads_tx1	total_reads_tx2	sharing_fraction	recommendation
SAMEA117622252	transcript1109.chr2.nnic	ENST00000335606.11	6	8	6	1	consider_merging
SAMEA117622252	ENST00000370372.7	ENST00000398020.6	2	2	2	1	consider_merging
SAMEA117622252	ENST00000251166.9	ENST00000264710.5	1	1	2	1	consider_merging
SAMEA117622252	transcript154.chr20.nnic	transcript157.chr4.nnic	1	2	1	1	consider_merging
SAMEA117622252	ENST00000498700.5	transcript237.chr7.nic	6	6	8	1	consider_merging
SAMEA117622252	transcript1363.chr2.nnic	ENST00000399933.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000482111.1	transcript1151.chr11.nnic	13	13	155	1	consider_merging
SAMEA117622252	transcript2136.chr6.nnic	ENST00000678563.1	3	3	3	1	consider_merging
SAMEA117622252	ENST00000258787.12	transcript1215.chr11.nnic	15	15	15	1	consider_merging
SAMEA117622252	ENST00000263461.11	transcript867.chr10.nnic	6	6	13	1	consider_merging
SAMEA117622252	ENST00000374343.5	ENST00000356245.8	1	2	1	1	consider_merging
SAMEA117622252	transcript792.chr14.nnic	transcript685.chr19.nnic	9	9	9	1	consider_merging
SAMEA117622252	ENST00000237889.9	ENST00000399075.6	2	2	4	1	consider_merging
SAMEA117622252	transcript378.chr8.nnic	transcript424.chr16.nic	4	4	8	1	consider_merging
SAMEA117622252	transcript1213.chr1.nic	ENST00000375898.4	1	1	1	1	consider_merging
SAMEA117622252	ENST00000376073.8	ENST00000397124.5	1	1	1	1	consider_merging
SAMEA117622252	transcript194.chr5.nnic	ENST00000360642.7	286	286	287	1	consider_merging
SAMEA117622252	ENST00000413042.3	ENST00000413140.5	1	1	2	1	consider_merging
SAMEA117622252	ENST00000394852.8	ENST00000368347.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000404816.7	ENST00000405303.7	1	1	1	1	consider_merging
SAMEA117622252	ENST00000319449.9	ENST00000414009.2	1	1	1	1	consider_merging
SAMEA117622252	transcript40.chr3.nic	ENST00000374606.10	1	10	1	1	consider_merging
SAMEA117622252	ENST00000645674.2	ENST00000373840.9	1	1	2	1	consider_merging
SAMEA117622252	ENST00000374514.8	ENST00000328268.9	1	1	1	1	consider_merging
SAMEA117622252	ENST00000441259.2	ENST00000394990.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000398148.7	ENST00000378386.8	1	4	1	1	consider_merging
SAMEA117622252	ENST00000395726.8	ENST00000395787.4	1	1	1	1	consider_merging
SAMEA117622252	ENST00000324379.10	ENST00000395841.7	1	1	1	1	consider_merging
SAMEA117622252	ENST00000337917.11	ENST00000301466.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000257787.6	ENST00000258169.9	6	6	6	1	consider_merging
SAMEA117622252	transcript266.chr8.nnic	transcript498.chrX.nic	1	1	1	1	consider_merging
SAMEA117622252	ENST00000576892.8	transcript42.chr18.nnic	12	12	12	1	consider_merging
SAMEA117622252	transcript15.chr21.nnic	ENST00000572851.6	3	32	3	1	consider_merging
SAMEA117622252	ENST00000368174.5	ENST00000418507.6	7	8	7	1	consider_merging
SAMEA117622252	ENST00000368211.8	ENST00000418533.6	1	1	2	1	consider_merging
SAMEA117622252	transcript293.chr8.nnic	ENST00000325324.11	1	1	1	1	consider_merging
SAMEA117622252	ENST00000368453.8	ENST00000377673.10	1	1	1	1	consider_merging
SAMEA117622252	ENST00000485386.1	ENST00000370377.8	1	2	1	1	consider_merging
SAMEA117622252	ENST00000373925.5	ENST00000370792.7	1	1	1	1	consider_merging
SAMEA117622252	transcript227.chr17.nic	ENST00000367261.8	2	2	5	1	consider_merging
SAMEA117622252	ENST00000396014.8	ENST00000396020.7	1	2	1	1	consider_merging
SAMEA117622252	ENST00000357052.8	transcript257.chr13.nnic	2	2	2	1	consider_merging
SAMEA117622252	ENST00000445560.6	transcript359.chr13.nic	1	1	2	1	consider_merging
SAMEA117622252	ENST00000366514.5	ENST00000366647.9	1	1	1	1	consider_merging
SAMEA117622252	ENST00000397062.8	ENST00000397080.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000259632.12	transcript383.chr5.nnic	7	7	9	1	consider_merging
SAMEA117622252	transcript820.chr14.nnic	ENST00000493053.5	21	21	21	1	consider_merging
SAMEA117622252	ENST00000375856.5	ENST00000413697.5	1	1	1	1	consider_merging
SAMEA117622252	ENST00000333511.9	ENST00000409785.9	6	7	6	1	consider_merging
SAMEA117622252	ENST00000378853.3	ENST00000333511.9	1	1	7	1	consider_merging
SAMEA117622252	ENST00000419277.5	ENST00000008938.5	2	2	2	1	consider_merging
SAMEA117622252	ENST00000299157.5	ENST00000358465.7	1	1	1	1	consider_merging
SAMEA117622252	ENST00000370152.8	ENST00000323563.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000355151.9	ENST00000392006.8	1	6	1	1	consider_merging
SAMEA117622252	ENST00000366999.9	ENST00000374819.6	1	1	1	1	consider_merging
SAMEA117622252	transcript693.chr1.nic	transcript598.chr1.nnic	3	3	4	1	consider_merging
SAMEA117622252	ENST00000279247.11	ENST00000394520.7	37	37	37	1	consider_merging
SAMEA117622252	ENST00000373464.5	ENST00000374358.5	2	70	2	1	consider_merging
SAMEA117622252	transcript981.chr12.nnic	transcript1327.chr11.nic	1	1	1	1	consider_merging
SAMEA117622252	ENST00000372836.5	transcript799.chr16.nnic	1	1	2	1	consider_merging
SAMEA117622252	ENST00000216452.9	ENST00000217402.3	605	605	633	1	consider_merging
SAMEA117622252	ENST00000637561.1	ENST00000242257.14	7	7	7	1	consider_merging
SAMEA117622252	ENST00000306185.8	ENST00000393700.8	1	37	1	1	consider_merging
SAMEA117622252	ENST00000372330.3	ENST00000245157.11	15	15	15	1	consider_merging
SAMEA117622252	ENST00000422514.7	ENST00000231009.3	6	9	6	1	consider_merging
SAMEA117622252	ENST00000396198.7	ENST00000246117.9	3	3	6	1	consider_merging
SAMEA117622252	ENST00000338758.12	ENST00000341285.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000356205.9	ENST00000356401.9	2	2	2	1	consider_merging
SAMEA117622252	ENST00000567572.6	ENST00000377213.1	2	2	2	1	consider_merging
SAMEA117622252	transcript1060.chr7.nnic	transcript248.chr19.nnic	1	16	1	1	consider_merging
SAMEA117622252	ENST00000495531.1	transcript1315.chr17.nnic	3	14	3	1	consider_merging
SAMEA117622252	ENST00000376237.8	ENST00000390667.11	1	1	1	1	consider_merging
SAMEA117622252	ENST00000382374.9	ENST00000267082.10	1	8	1	1	consider_merging
SAMEA117622252	ENST00000368759.5	ENST00000409573.7	11	11	11	1	consider_merging
SAMEA117622252	ENST00000262306.11	ENST00000264350.8	78	80	78	1	consider_merging
SAMEA117622252	ENST00000383329.7	ENST00000373144.7	1	1	1	1	consider_merging
SAMEA117622252	transcript144.chr3.nnic	ENST00000360472.9	4	4	4	1	consider_merging
SAMEA117622252	ENST00000264414.9	ENST00000265742.8	2	5	2	1	consider_merging
SAMEA117622252	ENST00000334351.8	ENST00000266077.5	5	5	5	1	consider_merging
SAMEA117622252	ENST00000269980.7	ENST00000266000.10	1	1	1	1	consider_merging
SAMEA117622252	ENST00000309311.7	ENST00000373943.9	1	1	1	1	consider_merging
SAMEA117622252	ENST00000264827.9	ENST00000373394.8	1	1	1	1	consider_merging
SAMEA117622252	ENST00000280571.10	ENST00000266970.9	1	1	1	1	consider_merging
SAMEA117622252	ENST00000376227.4	ENST00000296464.9	1	1	7	1	consider_merging
