sample_id	ec_id	transcripts	count	ec_size	ec_type
SAMEA117622252	1	ENST00000418976.3	1	1	unique
SAMEA117622252	2	ENST00000366607.5	4	1	unique
SAMEA117622252	3	ENST00000356487.11	1	1	unique
SAMEA117622252	4	ENST00000258947.8	772	1	unique
SAMEA117622252	5	ENST00000682010.1	47	1	unique
SAMEA117622252	6	transcript106.chr17.nic|ENST00000445140.6	53844	2	multi
SAMEA117622252	7	transcript106.chr17.nic|ENST00000380201.2|ENST00000445140.6	10482	3	multi
SAMEA117622252	8	ENST00000445140.6	3199	1	unique
SAMEA117622252	9	ENST00000682386.1	7	1	unique
SAMEA117622252	10	ENST00000685247.3	14	1	unique
SAMEA117622252	11	ENST00000685295.2	116	1	unique
SAMEA117622252	12	transcript298.chr5.nnic	6	1	unique
SAMEA117622252	13	ENST00000375272.5	6	1	unique
SAMEA117622252	14	ENST00000378319.8	1	1	unique
SAMEA117622252	15	ENST00000336890.10	3	1	unique
SAMEA117622252	16	ENST00000687224.1	3	1	unique
SAMEA117622252	17	transcript318.chr20.nnic	1	1	unique
SAMEA117622252	18	ENST00000586895.6	4	1	unique
SAMEA117622252	19	ENST00000591455.5	1	1	unique
SAMEA117622252	20	ENST00000688520.1	2	1	unique
SAMEA117622252	21	ENST00000304992.11	7	1	unique
SAMEA117622252	22	transcript627.chr2.nnic	2	1	unique
SAMEA117622252	23	ENST00000216714.8	2	1	unique
SAMEA117622252	24	ENST00000378943.7	1	1	unique
SAMEA117622252	25	transcript1111.chr11.nnic	1	1	unique
SAMEA117622252	26	transcript133.chr9.nnic	1	1	unique
SAMEA117622252	27	ENST00000472628.1	54	1	unique
SAMEA117622252	28	ENST00000698550.1	2	1	unique
SAMEA117622252	29	transcript441.chr19.nic	1	1	unique
SAMEA117622252	30	ENST00000221975.6	4	1	unique
SAMEA117622252	31	ENST00000699785.1	2	1	unique
SAMEA117622252	32	ENST00000380044.6	2	1	unique
SAMEA117622252	33	ENST00000396345.1	1	1	unique
SAMEA117622252	34	ENST00000305786.7	1	1	unique
SAMEA117622252	35	transcript1090.chr6.nic	2	1	unique
SAMEA117622252	36	ENST00000701000.2	2	1	unique
SAMEA117622252	37	transcript974.chr19.nnic	1	1	unique
SAMEA117622252	38	ENST00000325285.8	1	1	unique
SAMEA117622252	39	ENST00000306010.8	1	1	unique
SAMEA117622252	40	ENST00000491935.5	1	1	unique
SAMEA117622252	41	transcript109.chr21.nnic	1	1	unique
SAMEA117622252	42	ENST00000328024.11	122	1	unique
SAMEA117622252	43	ENST00000700367.1	1	1	unique
SAMEA117622252	44	ENST00000743595.1	1	1	unique
SAMEA117622252	45	transcript155.chr7.nic	1	1	unique
SAMEA117622252	46	ENST00000717267.1	2	1	unique
SAMEA117622252	47	transcript1876.chr1.nic	3	1	unique
SAMEA117622252	48	transcript432.chr16.nnic	1	1	unique
SAMEA117622252	49	transcript1297.chr2.nic	3	1	unique
SAMEA117622252	50	transcript648.chr4.nic	1	1	unique
SAMEA117622252	51	ENST00000395124.6	4	1	unique
SAMEA117622252	52	ENST00000700102.1	1	1	unique
SAMEA117622252	53	transcript100.chr9.nnic	1	1	unique
SAMEA117622252	54	ENST00000258874.4	6	1	unique
SAMEA117622252	55	ENST00000759021.1	2	1	unique
